Id_bien;Code_dep_code_commune;No_voie;Type_de_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
33212;93070;2;RUE;JULES VERNE;3;48,19;46;Appartement
33213;93077;31;AV;DE ROSNY;3;55,52;57;Appartement
33214;93077;54;RUE;DE LA MONTAGNE SAVART;2;48,42;47;Appartement
33215;94001;32;ALL;DU BOIS;4;67,39;67;Appartement
33216;94002;39;RUE;DE CHARENTON;2;52,61;54;Appartement
33217;94002;18;RUE;VOLTAIRE;2;47,19;47;Appartement
33218;94002;50;BD;CARNOT;2;40,99;41;Appartement
33219;94003;36;RUE;DE LA DIV GAL LECLERC;1;29,6;30;Appartement
33220;94015;7;RUE;DU COLOMBIER;2;53,72;54;Appartement
33221;94018;166;RUE;DE PARIS;2;36,34;36;Appartement
33222;94018;23;QUAI;CARRIERES;4;91,07;70;Appartement
33223;94018;71;RUE;DE PARIS;4;96,2;95;Appartement
33224;94021;13;RUE;DU GENERAL LECLERC;3;54,08;53;Appartement
33225;94028;13;RUE;ALEXANDRE;1;19,7;20;Appartement
33226;94028;5;ALL;OPHULS;3;67,45;66;Appartement
33227;94038;65;AV;ARISTIDE BRIAND;1;29,58;28;Appartement
33228;94041;10;RUE;EMILE BASTARD;1;30,78;30;Appartement
33229;94043;58;AV;DE FONTAINEBLEAU;1;39,29;40;Appartement
33230;94044;7;RES;LES SABLES;3;58,78;59;Appartement
33231;94046;155;AV;DE LA REPUBLIQUE;3;44,18;45;Appartement
33232;94046;99;AV;DU GENERAL LECLERC;4;81,34;81;Appartement
33233;94047;2;RLE;A GUITARD;6;137,81;133;Maison
33234;94052;2;RUE;JULES FERRY;2;34,28;36;Appartement
33235;94052;4;RUE;DU VIADUC;3;70,06;68;Appartement
33236;94052;171;;GR  RUE CHARLES DE GAULLE;3;61,25;63;Appartement
33237;94058;44;AV;DU GENERAL DE GAULLE;1;26,1;30;Appartement
33238;94067;62;AV;SAINTE MARIE;1;20,03;19;Appartement
33239;94068;28;AV;JEAN JAURES;1;29,13;28;Appartement
33240;94068;29;AV;DE CONDE;3;51,25;49;Appartement
33241;94069;19;RUE;DU VAL D OSNE;3;32,55;32;Appartement
33242;94069;135;RUE;DU MARECHAL LECLERC;4;78,56;69;Appartement
33243;94071;2;RUE;DE VILLENEUVE;2;40,48;27;Appartement
33244;94073;150;AV;DE VERSAILLES;2;48,48;49;Appartement
33245;94073;49;AV;DE VERSAILLES;1;31,63;30;Appartement
33246;94076;19;ALL;DES PLANTES;3;52,48;63;Maison
33247;94076;15;IMP;DES LOZAITS;3;48,44;75;Maison
33248;94076;19;BD;MAXIME GORKI;2;39,81;40;Appartement
33249;94077;6;AV;DU MARECHAL DE TURENNE;2;42,35;42;Appartement
33250;94079;5;ALL;DES LILAS;5;131,87;115;Maison
33251;94079;3;BD;DE STRASBOURG;2;41,56;44;Appartement
33252;94081;101;RUE;JULIAN GRIMAU;4;86,13;86;Appartement
33253;94081;25;RUE;ALEGRE;2;31,4;33;Appartement
33254;95018;6;RUE;MARINETTE REVILLON;3;57,66;58;Appartement
33255;95018;6;RUE;MARINETTE REVILLON;3;58,02;60;Appartement
33256;95018;9;RUE;HENRI BARBUSSE;2;31,9;29;Appartement
33257;95063;24;RUE;DE MONTESSON;3;63,5;64;Appartement
33258;95063;23;RUE;DE LA PROCESSION;3;60,46;60;Appartement
33259;95127;3;RUE;DE LA JUSTICE BRUNE;3;67,63;67;Appartement
33260;95127;53;RUE;CHEVEE;4;81,6;87;Maison
33261;95127;6;RUE;MICHEL STROGOFF;3;51,9;55;Appartement
33262;95218;3;RUE;DU PAPIER COUCHE;3;57,54;58;Appartement
33263;95219;7;PL;D ANJOU;3;69,17;68;Appartement
33264;95252;61;RUE;DE PARIS;2;41,79;42;Appartement
33265;95252;11;PL;DE LA REPUBLIQUE;3;66,43;61;Appartement
33266;95268;8;RUE;HONORE DE BALZAC;4;63,72;64;Appartement
33267;95268;11;PL;EMILE ZOLA;3;55,01;54;Appartement
33268;95394;47;AV;MARCEL PERRIN;1;29,14;27;Appartement
33269;95424;9;RUE;JACQUES VERNIOL;3;53,77;53;Appartement
33270;95427;2;RUE;DES TUILERIES;3;58,43;59;Appartement
33271;95480;16;RUE;PAUL CEZANNE;5;98,45;101;Maison
33272;95539;45;RUE;DE MONTMORENCY;2;43,02;45;Appartement
33273;95582;12;SQ;JULES FERRY;2;43,57;43;Appartement
33274;95585;3;AV;PIERRE KOENIG;4;67,65;68;Appartement
33275;95594;65;RUE;DE LA FONTAINE;4;23;93;Appartement
33276;95607;31;RUE;DE L EGLISE;2;27,95;47;Appartement
33277;95607;2;PL;DE LA SEINE;3;73,11;72;Appartement
33278;95652;20;RUE;DOCTEURS DARENE;4;84,4;100;Appartement
33279;972213;6680;;PAYS MELE;2;32,56;38;Appartement
33280;972224;5160;;HABITATION DESFOURNEAUX;4;83,28;79;Maison
33281;972229;5849;RUE;BETHLEEM;3;63,56;65;Appartement
33282;973307;45;;SAINT MICHEL;4;83,75;76;Maison
33283;974408;12;RUE;JUAN DE NOVA;2;46,31;46;Appartement
33284;974415;7;RUE;DES SAPHIRS;2;59,12;50;Appartement
33285;10387;19;BD;DU QUATORZE JUILLET;4;100,19;100;Appartement
33286;26247;5013;;LE VILLAGE;3;99,88;80;Appartement
33287;27229;63;RUE;SAINT GERMAIN;5;90,99;90;Appartement
33288;27229;2;RUE;FRANKLIN D ROOSEVELT;1;22,45;23;Appartement
33289;28085;13;RUE;DU FAUBOURG GUILLAUME;2;30,29;39;Appartement
33290;44012;38;RUE;JEAN DUPLESSIS;1;33,09;33;Maison
33291;44020;6;RUE;DE LA TOSCA;4;80,98;80;Maison
33292;44154;17;DOM;LES ECUREUILS;3;58,82;58;Maison
33293;51108;41;RUE;DE LA MARNE;3;59,31;60;Appartement
33294;74010;4;RUE;LOUIS CHAUMONTEL;6;80;185;Appartement
33295;75117;28;BD;PEREIRE;3;60;64;Appartement
33296;75117;28;BD;PEREIRE;3;60,3;64;Appartement
