Id_Vente;Date_vente;Valeur_fonciere;Id_bien
2020-000445;2020-01-06;235200;445
2020-000446;2020-01-06;80000;446
2020-000447;2020-01-06;182500;447
2020-000448;2020-01-06;103000;448
2020-000449;2020-01-06;51000;449
2020-000450;2020-01-06;134500;450
2020-000451;2020-01-06;39000;451
2020-000452;2020-01-06;168636,6;452
2020-000453;2020-01-06;265000;453
2020-000454;2020-01-06;134000;454
2020-000455;2020-01-06;291150;455
2020-000456;2020-01-06;377000;456
2020-000457;2020-01-06;391200;457
2020-000458;2020-01-06;476469;458
2020-000459;2020-01-06;910000;459
2020-000460;2020-01-06;186000;460
2020-000461;2020-01-06;164000;461
2020-000462;2020-01-06;185000;462
2020-000463;2020-01-06;388326;463
2020-000464;2020-01-06;606820;464
2020-000465;2020-01-06;423100;465
2020-000466;2020-01-06;518192;466
2020-000467;2020-01-06;345000;467
2020-000468;2020-01-06;335000;468
2020-000469;2020-01-06;121000;469
2020-000470;2020-01-06;380000;470
2020-000471;2020-01-06;1550000;471
2020-000472;2020-01-06;645000;472
2020-000473;2020-01-06;825750;473
2020-000474;2020-01-06;345000;474
2020-000475;2020-01-06;166000;475
2020-000476;2020-01-06;254800;476
2020-000477;2020-01-06;460000;477
2020-000478;2020-01-06;1225000;478
2020-000479;2020-01-06;354750;479
2020-000480;2020-01-06;196800;480
2020-000481;2020-01-06;156350;481
2020-000482;2020-01-06;350000;482
2020-000483;2020-01-06;644000;483
2020-000484;2020-01-06;319000;484
2020-000485;2020-01-06;160000;485
2020-000486;2020-01-06;240000;486
2020-000487;2020-01-06;435000;487
2020-000488;2020-01-06;408000;488
2020-000489;2020-01-06;153000;489
2020-000490;2020-01-06;187000;490
2020-000491;2020-01-06;420600;491
2020-000492;2020-01-06;281000;492
2020-000493;2020-01-06;168500;493
2020-000494;2020-01-06;267000;494
2020-000495;2020-01-06;129000;495
2020-000496;2020-01-06;197050;496
2020-000497;2020-01-06;389980;497
2020-000498;2020-01-06;109000;498
2020-000499;2020-01-06;195000;499
2020-000500;2020-01-06;137000;500
2020-000501;2020-01-06;189800;501
2020-000502;2020-01-06;285500;502
2020-000503;2020-01-06;165000;503
2020-000504;2020-01-06;225000;504
2020-000505;2020-01-06;252000;505
2020-000506;2020-01-06;244783,25;506
2020-000507;2020-01-06;1400000;507
2020-000508;2020-01-06;240750;508
2020-000509;2020-01-06;100000;509
2020-000510;2020-01-06;660000;510
2020-000511;2020-01-06;1690000;511
2020-000512;2020-01-06;130000;512
2020-000513;2020-01-06;179500;513
2020-000514;2020-01-06;212500;514
2020-000515;2020-01-06;208000;515
2020-000516;2020-01-06;181230;516
2020-000517;2020-01-07;220900;517
2020-000518;2020-01-07;212150;518
2020-000519;2020-01-07;262000;519
2020-000520;2020-01-07;131990;520
2020-000521;2020-01-07;133950;521
2020-000522;2020-01-07;405000;522
2020-000523;2020-01-07;151000;523
2020-000524;2020-01-07;581097,6;524
2020-000525;2020-01-07;245000;525
2020-000526;2020-01-07;198000;526
2020-000527;2020-01-07;233000;527
2020-000528;2020-01-07;73500;528
2020-000529;2020-01-07;140000;529
2020-000530;2020-01-07;66000;530
2020-000531;2020-01-07;42500;531
