Code Domaine,Domaine,Code zone (M49),Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Code Élément,Élément,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","020","Andorre","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","104.825577","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","157.266651","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","159.513911","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","162.255519","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","6125","Valeur","","164.766622","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","6125","Valeur","","167.125913","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","6125","Valeur","","169.143161","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","6125","Valeur","","171.979283","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","6125","Valeur","","174.063428","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","6125","Valeur","","177.279307","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","6125","Valeur","","180.51638","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","6125","Valeur","","182.131179","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","024","Angola","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","6125","Valeur","","183.757815","X","Ciffre de sources internationales","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","6125","Valeur","","100.218266","I","Valeur imputée","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","6125","Valeur","","100.277624","I","Valeur imputée","base year is 2015"
"CP","Indices de Prix à la Consommation","660","Anguilla","2017","2017","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","6125","Valeur","","100.336983","X","Ciffre de sources internationales","base year is 2015"
